id,bartscore_sum2doc,bartscore_doc2sum,truncated
59,-3.7870254516601562,-3.504523515701294,False
60,-4.157958984375,-3.8224194049835205,False
61,-4.073977470397949,-4.045008659362793,False
62,-3.891812801361084,-3.5254693031311035,False
63,-4.003962516784668,-3.421053409576416,False
64,-4.013153553009033,-3.589073657989502,False
65,-4.357851505279541,-3.9030308723449707,False
66,-4.005515098571777,-3.7436740398406982,False
67,-3.9139585494995117,-3.5589659214019775,False
68,-3.9540135860443115,-3.797790050506592,False
69,-4.324368476867676,-3.1268272399902344,False
70,-3.754610061645508,-3.5124239921569824,False
71,-3.8853824138641357,-3.0276451110839844,False
72,-3.926391839981079,-3.98123836517334,False
73,-3.9490089416503906,-3.494927167892456,False
74,-4.041228771209717,-3.35144305229187,False
75,-4.149899005889893,-3.5562689304351807,False
76,-3.653994083404541,-3.8424947261810303,False
77,-4.454358100891113,-3.7158946990966797,True
78,-4.079812049865723,-3.557013988494873,False
79,-3.983792781829834,-3.613708972930908,False
80,-4.270750522613525,-3.2191426753997803,False
81,-4.157411098480225,-3.6138672828674316,False
82,-3.702136993408203,-3.8329110145568848,False
83,-4.743330478668213,-4.014934539794922,False
84,-4.1911845207214355,-3.6633951663970947,False
85,-3.819784641265869,-3.5766046047210693,False
86,-4.133798122406006,-3.501230001449585,False
87,-3.9366886615753174,-3.433671236038208,False
88,-3.690629720687866,-3.4767098426818848,False
89,-4.286186695098877,-4.0393805503845215,False
90,-4.001884937286377,-3.403329372406006,False
91,-3.945176601409912,-3.9751009941101074,False
92,-3.778714179992676,-3.9191501140594482,False
93,-4.276214599609375,-3.57501482963562,False
94,-3.881563901901245,-3.8426618576049805,False
95,-4.326265335083008,-3.4340121746063232,False
96,-4.3042755126953125,-3.170344591140747,False
97,-3.9376912117004395,-3.44748592376709,False
98,-3.493335485458374,-3.38558292388916,False
99,-3.9276459217071533,-3.6498866081237793,False
100,-4.423036575317383,-3.7370388507843018,False
101,-4.472157001495361,-3.7451822757720947,False
102,-4.400872230529785,-3.388117790222168,False
103,-4.0867462158203125,-3.8008837699890137,False
104,-4.032411575317383,-3.441983461380005,False
105,-4.040390968322754,-3.344548225402832,False
106,-3.64518404006958,-3.6579222679138184,False
107,-3.7916457653045654,-3.31477689743042,False
108,-4.132806777954102,-3.8797900676727295,False
109,-4.388068199157715,-3.687295436859131,False
110,-4.067908763885498,-3.8869783878326416,True
111,-4.098814010620117,-3.602186441421509,False
112,-4.912207126617432,-3.426142930984497,False
113,-4.187565326690674,-3.9234511852264404,True
114,-4.328789710998535,-4.094452857971191,False
115,-4.406467914581299,-3.492154359817505,False
116,-4.167115688323975,-3.6889405250549316,False
117,-4.735979080200195,-3.329634666442871,False
118,-3.887908458709717,-3.719841718673706,False
119,-4.107007026672363,-3.6773505210876465,False
120,-3.974900960922241,-3.750108242034912,False
121,-4.56587028503418,-4.141242980957031,False
122,-4.051941871643066,-3.2706351280212402,False
123,-3.577603340148926,-2.773512601852417,False
124,-4.127382278442383,-4.027568817138672,False
125,-4.632408142089844,-3.1073107719421387,False
126,-3.848440647125244,-3.6086206436157227,False
127,-4.020318984985352,-4.326086521148682,True
128,-4.253259658813477,-3.4116098880767822,False
129,-4.079707622528076,-3.5918140411376953,False
130,-4.157814025878906,-3.531606912612915,False
131,-3.647533893585205,-3.5455448627471924,False
132,-3.8890788555145264,-3.5837531089782715,False
133,-4.297804832458496,-3.311187744140625,False
134,-4.35713005065918,-3.427297592163086,False
135,-3.9727940559387207,-3.5748770236968994,True
136,-4.156977653503418,-3.6563308238983154,False
137,-3.9090003967285156,-3.0607640743255615,False
138,-3.917461395263672,-3.4602019786834717,False
139,-4.315585613250732,-4.424018383026123,False
140,-4.2831878662109375,-4.258671283721924,False
141,-4.550322532653809,-3.9726920127868652,False
142,-4.022416591644287,-3.976637125015259,False
143,-4.073183536529541,-3.389413595199585,False
144,-4.358792304992676,-3.4298081398010254,False
145,-3.9084558486938477,-3.6460163593292236,False
146,-4.283892631530762,-3.8832409381866455,False
147,-4.793954849243164,-3.6864912509918213,False
148,-4.5461506843566895,-4.26356840133667,True
149,-4.264079570770264,-3.436748743057251,False
150,-3.3477423191070557,-3.7759017944335938,False
151,-3.7469305992126465,-3.1663897037506104,False
152,-3.5295042991638184,-3.4767160415649414,False
153,-3.7582547664642334,-3.4742307662963867,False
154,-4.01068115234375,-3.4829914569854736,False
155,-3.9086496829986572,-3.061479330062866,False
156,-4.317411422729492,-3.352309226989746,False
157,-3.87070894241333,-3.3855767250061035,False
158,-4.161766052246094,-3.5765140056610107,False
159,-3.996634006500244,-2.787783145904541,False
160,-3.8155717849731445,-3.7468345165252686,False
161,-3.6727092266082764,-3.1667234897613525,False
162,-4.125814914703369,-4.27693510055542,False
163,-4.5299882888793945,-3.3859174251556396,False
164,-3.4404184818267822,-3.28291654586792,False
165,-4.309446334838867,-3.7177419662475586,False
166,-4.393789291381836,-3.4381370544433594,False
167,-4.025915145874023,-3.584759473800659,False
168,-4.075370788574219,-3.4946916103363037,False
169,-4.260251998901367,-3.6555161476135254,False
170,-3.8130228519439697,-3.943282127380371,False
171,-4.440913677215576,-3.824739933013916,False
172,-4.132786750793457,-3.3627119064331055,False
173,-4.339172840118408,-3.7608964443206787,False
174,-4.401021957397461,-3.5651209354400635,False
175,-4.312568187713623,-3.678032398223877,False
176,-4.151782035827637,-3.4097814559936523,False
177,-4.185101509094238,-4.140478610992432,False
178,-4.65660285949707,-3.2057793140411377,False
179,-4.021172523498535,-3.49723482131958,False
180,-4.399378299713135,-3.568089008331299,False
181,-4.5366082191467285,-3.7242624759674072,False
182,-4.216283321380615,-3.4139249324798584,False
183,-3.7382774353027344,-3.1387224197387695,False
184,-4.126791477203369,-3.7047605514526367,False
185,-4.214905261993408,-3.6001858711242676,False
186,-3.7970809936523438,-3.4179718494415283,False
187,-3.973888635635376,-3.0644922256469727,False
188,-3.91635799407959,-3.3478474617004395,False
189,-4.015105724334717,-3.462344169616699,False
190,-3.8939900398254395,-3.647388458251953,False
191,-3.9175336360931396,-3.36885404586792,False
192,-4.230939865112305,-3.3162007331848145,False
193,-4.304892063140869,-3.727548599243164,False
194,-4.235966682434082,-3.571721076965332,False
195,-3.637756109237671,-3.4476263523101807,False
196,-4.049805164337158,-3.3007521629333496,True
197,-4.577939987182617,-3.826265811920166,False
