id,rouge1,rouge2,rougel,bertscore_precision,bertscore_recall,bertscore_f1,method
20,0.3636363636363637,0.07094594594594596,0.13468013468013468,0.5856592655181885,0.5958113670349121,0.5906917452812195,BERTScore-deberta-xlarge-mnli
21,0.2513274336283186,0.021314387211367674,0.10973451327433627,0.48337483406066895,0.4627848267555237,0.472855806350708,BERTScore-deberta-xlarge-mnli
22,0.40745672436751,0.12550066755674233,0.16245006657789612,0.5666446685791016,0.6162256002426147,0.590395987033844,BERTScore-deberta-xlarge-mnli
23,0.41787122207621546,0.1422924901185771,0.17871222076215504,0.5974931716918945,0.6500029563903809,0.6226429343223572,BERTScore-deberta-xlarge-mnli
24,0.3011917659804984,0.07383279044516829,0.14517876489707476,0.5072655081748962,0.5633584260940552,0.5338425636291504,BERTScore-deberta-xlarge-mnli
25,0.40858208955223885,0.13271028037383176,0.18097014925373137,0.5328177213668823,0.5672757029533386,0.5495070815086365,BERTScore-deberta-xlarge-mnli
26,0.3965936739659367,0.0926829268292683,0.14111922141119224,0.5941654443740845,0.6178703308105469,0.6057860851287842,BERTScore-deberta-xlarge-mnli
27,0.4272300469483568,0.16037735849056603,0.20187793427230047,0.5930110812187195,0.663974404335022,0.6264896392822266,BERTScore-deberta-xlarge-mnli
28,0.3875530410183875,0.12765957446808512,0.16973125884016976,0.5729045271873474,0.6059062480926514,0.588943362236023,BERTScore-deberta-xlarge-mnli
29,0.20960698689956334,0.004385964912280702,0.10917030567685589,0.48889774084091187,0.518752932548523,0.5033831000328064,BERTScore-deberta-xlarge-mnli
30,0.42940038684719534,0.19805825242718447,0.24758220502901354,0.6138454675674438,0.7163664698600769,0.6611552834510803,BERTScore-deberta-xlarge-mnli
31,0.3493810178817056,0.0910344827586207,0.17056396148555708,0.5428990721702576,0.5761710405349731,0.5590404868125916,BERTScore-deberta-xlarge-mnli
32,0.25707547169811323,0.09219858156028368,0.11084905660377359,0.45944446325302124,0.5347862243652344,0.4942606985569,BERTScore-deberta-xlarge-mnli
33,0.4291845493562232,0.18103448275862072,0.2360515021459228,0.6129748821258545,0.6868921518325806,0.6478318572044373,BERTScore-deberta-xlarge-mnli
34,0.20264317180616742,0.0471281296023564,0.1145374449339207,0.476809561252594,0.5384494066238403,0.5057582855224609,BERTScore-deberta-xlarge-mnli
35,0.3978102189781022,0.13919413919413923,0.218978102189781,0.614188551902771,0.709294319152832,0.6583243012428284,BERTScore-deberta-xlarge-mnli
36,0.45146726862302483,0.15873015873015872,0.1670428893905192,0.6882967948913574,0.6825997829437256,0.6854364275932312,BERTScore-deberta-xlarge-mnli
37,0.25820568927789933,0.04605263157894737,0.12035010940919036,0.49863672256469727,0.5735187530517578,0.5334627628326416,BERTScore-deberta-xlarge-mnli
