id,bartscore_sum2doc,bartscore_doc2sum
367,-6.466349124908447,-3.419914722442627
368,-5.993786811828613,-4.0980329513549805
369,-6.524338722229004,-3.674376964569092
370,-6.756155014038086,-3.5171501636505127
371,-6.355160713195801,-3.7795186042785645
372,-7.164877891540527,-4.065677165985107
373,-6.314797878265381,-3.690725088119507
374,-6.129544258117676,-3.62268328666687
375,-6.361421585083008,-3.9337172508239746
376,-6.269539833068848,-3.5412700176239014
377,-6.9921441078186035,-3.9140589237213135
378,-6.255809783935547,-3.786029815673828
379,-7.0267486572265625,-3.760382890701294
380,-6.505866527557373,-3.893894910812378
381,-7.153820514678955,-3.719801187515259
382,-6.756043910980225,-3.712730646133423
383,-6.578737258911133,-3.6744673252105713
384,-6.467301845550537,-3.5911664962768555
385,-5.85732364654541,-3.486640691757202
386,-6.611945152282715,-3.9579918384552
387,-6.534974098205566,-3.590264081954956
388,-6.749432563781738,-3.5411300659179688
389,-6.580296039581299,-3.742922067642212
390,-6.392419815063477,-4.57253360748291
391,-7.428877830505371,-3.6649270057678223
392,-6.1909074783325195,-3.6243739128112793
393,-6.137350559234619,-3.5155937671661377
394,-6.765929222106934,-3.854395866394043
395,-6.358760356903076,-4.2077460289001465
396,-6.692478179931641,-3.448030710220337
397,-6.567450523376465,-3.9261224269866943
398,-6.854515075683594,-3.57216477394104
399,-6.277775287628174,-4.249762058258057
400,-7.09182596206665,-3.583960771560669
401,-6.86974573135376,-3.5180180072784424
402,-6.312740802764893,-4.471585750579834
403,-6.85666561126709,-3.776660919189453
404,-7.138824462890625,-3.525221347808838
405,-6.491583347320557,-3.5120747089385986
406,-6.244730472564697,-3.8058021068573
407,-6.219542026519775,-3.6020736694335938
408,-6.335413932800293,-4.0102314949035645
409,-6.652411460876465,-3.698228597640991
410,-6.282994270324707,-3.3789501190185547
411,-6.605915546417236,-3.3738911151885986
412,-6.938641548156738,-4.097377300262451
413,-6.440194129943848,-3.592087745666504
414,-6.594876766204834,-3.3658814430236816
415,-6.589387893676758,-3.726259231567383
416,-6.860283374786377,-3.5312232971191406
417,-6.511648178100586,-4.158278942108154
418,-6.108711242675781,-3.657572031021118
419,-6.790959358215332,-3.6124684810638428
420,-6.387939929962158,-3.603111505508423
421,-6.540292739868164,-3.5849380493164062
422,-5.924468994140625,-3.8927531242370605
423,-6.644358158111572,-3.741657257080078
424,-6.254709243774414,-3.3978235721588135
425,-6.165689468383789,-3.5945358276367188
426,-6.533065319061279,-3.912280559539795
427,-6.676054954528809,-3.706685781478882
428,-6.4764404296875,-3.245527505874634
429,-6.60721492767334,-3.3145711421966553
430,-6.5705461502075195,-3.2240688800811768
431,-6.052707195281982,-3.708106517791748
432,-6.369368076324463,-3.8744969367980957
433,-6.737214088439941,-3.8098104000091553
434,-6.898983001708984,-4.143845558166504
435,-6.84773063659668,-3.631510019302368
436,-6.49099063873291,-3.6861002445220947
437,-6.113698482513428,-3.399109363555908
438,-7.285459518432617,-3.823935031890869
439,-6.09323787689209,-3.674527883529663
440,-6.256381988525391,-3.9120559692382812
441,-5.741018295288086,-3.5752029418945312
442,-6.350712776184082,-3.492311954498291
443,-7.122076988220215,-3.5062620639801025
444,-6.76263952255249,-3.6863186359405518
445,-6.767391204833984,-3.6058037281036377
446,-6.5389084815979,-3.6030001640319824
447,-6.518930912017822,-3.8611299991607666
448,-6.252153396606445,-3.7119028568267822
449,-6.9393510818481445,-3.6769611835479736
450,-6.164896011352539,-3.889007568359375
451,-6.091370582580566,-3.242922306060791
452,-5.826014995574951,-3.960258722305298
453,-7.2084879875183105,-3.862527847290039
454,-6.449367523193359,-3.5411596298217773
455,-5.873507022857666,-3.5077037811279297
456,-6.506971836090088,-3.4350786209106445
457,-6.7358222007751465,-3.313693046569824
458,-6.299324989318848,-3.37898588180542
459,-6.282574653625488,-3.3780717849731445
460,-6.584807395935059,-4.007401466369629
461,-6.081481456756592,-3.9611880779266357
462,-6.0098724365234375,-2.9885289669036865
463,-6.854770660400391,-3.6849780082702637
464,-6.492193222045898,-3.76798415184021
465,-6.128434181213379,-3.620344638824463
466,-6.404914379119873,-3.6258552074432373
467,-6.888928413391113,-3.6344351768493652
468,-6.164357662200928,-3.748523712158203
469,-6.813979148864746,-3.465280771255493
470,-6.959449768066406,-3.814814329147339
471,-6.469274044036865,-3.5464539527893066
472,-6.195631980895996,-3.958987236022949
473,-6.629038333892822,-3.9717979431152344
474,-6.290128707885742,-3.446258544921875
475,-6.474090576171875,-3.5918548107147217
476,-6.192673683166504,-4.068909168243408
477,-6.581244468688965,-3.65514874458313
478,-6.283563137054443,-3.7275052070617676
479,-6.653055191040039,-3.5920894145965576
480,-6.78620719909668,-3.3209903240203857
